Age,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,TotalChildren,NumberChildrenAtHome,Education,Occupation,YearlyIncome
33,M,S,0,0,0,0,Partial High School,Manual,31315
37,F,M,1,2,2,2,Graduate Degree,Professional,133103
36,M,S,0,1,0,0,High School,Clerical,85953
40,F,S,0,0,0,0,High School,Clerical,78356
39,M,M,1,2,0,0,Graduate Degree,Professional,132022
40,F,M,1,2,0,0,Bachelors,Management,103281
33,M,S,0,0,0,0,Partial High School,Manual,36326
40,F,S,0,2,0,0,Bachelors,Clerical,80632
42,F,M,1,1,1,0,Bachelors,Skilled Manual,54443
40,M,M,1,1,2,1,Partial College,Skilled Manual,53720
52,M,M,1,2,2,2,Bachelors,Professional,138094
41,F,S,0,2,0,0,Bachelors,Clerical,81168
62,M,M,1,0,2,0,Bachelors,Management,110907
58,M,M,1,2,2,0,Partial College,Skilled Manual,55051
55,M,M,1,1,2,1,High School,Skilled Manual,60460
50,M,M,1,1,2,0,Partial College,Management,113065
35,F,S,0,2,0,0,Partial College,Clerical,78659
40,F,M,1,0,2,1,High School,Skilled Manual,60825
47,M,S,0,0,0,0,Partial College,Skilled Manual,51307
64,F,S,1,2,1,1,Graduate Degree,Professional,135850
42,F,S,0,1,0,0,High School,Skilled Manual,56139
55,M,M,1,1,2,0,Partial College,Management,106292
35,M,M,1,0,2,1,Graduate Degree,Clerical,86492
37,F,S,0,2,0,0,Bachelors,Clerical,78270
50,F,M,1,2,2,1,Partial College,Clerical,76306
31,M,S,0,0,0,0,Partial High School,Manual,26611
26,F,S,0,1,0,0,High School,Skilled Manual,53598
55,F,M,1,1,2,1,Partial High School,Skilled Manual,55540
34,M,M,1,2,0,0,Graduate Degree,Professional,138508
66,F,M,1,0,3,0,Graduate Degree,Management,103553
45,M,S,1,2,0,0,Bachelors,Management,106124
28,M,M,0,3,0,0,Partial College,Clerical,87137
39,M,M,1,0,1,0,Partial High School,Skilled Manual,53321
36,F,S,0,2,0,0,Bachelors,Management,106613
48,F,S,1,0,0,0,High School,Skilled Manual,53096
49,M,S,1,1,0,0,Partial High School,Skilled Manual,60793
41,M,S,0,1,0,0,Partial High School,Manual,30763
39,F,M,1,0,2,0,Graduate Degree,Professional,135185
49,M,S,1,1,0,0,Partial High School,Skilled Manual,57677
49,M,M,1,1,2,1,Bachelors,Clerical,78065
42,M,M,1,2,2,1,Bachelors,Clerical,82159
41,M,M,1,3,2,1,Bachelors,Management,104925
40,F,S,0,2,0,0,Partial College,Skilled Manual,53762
29,F,M,0,0,0,0,Bachelors,Clerical,85651
37,F,M,1,1,1,1,Partial College,Clerical,78680
44,M,M,1,2,2,0,Graduate Degree,Professional,138681
40,M,S,0,0,0,0,High School,Clerical,86677
46,F,S,1,0,0,0,Partial College,Clerical,84713
57,F,S,1,3,0,0,Partial College,Management,102387
35,M,S,0,0,0,0,Partial High School,Manual,26017
41,M,S,0,2,0,0,Partial College,Clerical,78140
51,F,M,1,2,2,0,Partial College,Skilled Manual,57071
52,F,M,1,1,1,0,Graduate Degree,Manual,36338
40,F,M,1,2,1,0,Bachelors,Skilled Manual,55936
40,F,S,0,2,0,0,Bachelors,Skilled Manual,59776
60,F,S,1,1,1,0,Partial High School,Skilled Manual,53200
43,M,M,1,0,2,2,Partial College,Manual,33934
36,M,S,0,0,0,0,Graduate Degree,Skilled Manual,58601
38,F,S,0,3,0,0,High School,Clerical,78945
29,F,S,0,0,0,0,High School,Manual,32044
92,F,S,1,2,1,1,Partial College,Management,112047
33,M,M,1,0,1,0,High School,Clerical,79952
50,M,M,1,1,2,0,Partial College,Manual,35702
57,F,M,1,0,2,1,Partial College,Skilled Manual,57286
36,M,M,0,0,1,0,Graduate Degree,Skilled Manual,57036
57,F,M,1,2,1,1,Bachelors,Clerical,82552
60,M,M,1,1,2,1,Bachelors,Professional,130517
61,M,S,1,0,1,0,Bachelors,Manual,32990
31,F,M,0,1,0,0,High School,Manual,35976
38,F,S,0,0,0,0,Graduate Degree,Clerical,80570
50,F,M,1,1,2,0,High School,Skilled Manual,58899
32,F,S,0,0,0,0,Partial High School,Skilled Manual,61956
49,M,M,1,1,2,0,High School,Manual,27870
38,M,S,0,2,0,0,Bachelors,Skilled Manual,51704
28,F,S,0,0,0,0,Partial College,Management,105891
44,F,M,1,3,2,0,Partial College,Clerical,82216
40,F,S,0,1,0,0,Bachelors,Skilled Manual,58372
69,F,M,1,1,2,1,Partial College,Skilled Manual,56626
42,M,M,1,2,1,0,Partial College,Skilled Manual,53367
28,M,S,0,0,0,0,Partial High School,Manual,28750
62,F,M,1,2,2,0,Graduate Degree,Skilled Manual,59994
60,M,M,1,2,2,1,High School,Skilled Manual,54516
28,M,S,0,1,0,0,Partial High School,Skilled Manual,53750
36,F,S,0,0,0,0,Bachelors,Skilled Manual,57716
31,M,M,0,0,0,0,High School,Manual,28383
32,M,S,0,0,0,0,Partial High School,Manual,36569
49,M,M,1,3,2,2,Partial College,Management,109581
56,F,S,1,0,0,0,Partial College,Clerical,76776
47,F,S,1,2,0,0,Graduate Degree,Professional,137727
49,F,M,1,2,2,1,Partial College,Skilled Manual,55340
31,F,S,0,1,0,0,Partial College,Manual,27779
56,M,M,1,0,2,0,Bachelors,Skilled Manual,56833
46,F,S,0,0,0,0,High School,Manual,33026
33,F,M,1,1,1,0,Partial College,Clerical,78520
73,M,M,1,1,3,0,Graduate Degree,Skilled Manual,54573
46,M,M,1,1,2,1,Graduate Degree,Professional,128329
51,F,M,1,0,2,1,High School,Skilled Manual,57689
28,F,M,0,1,0,0,Partial College,Manual,36575
57,F,S,1,0,0,0,Partial High School,Manual,32896
47,M,M,1,0,1,0,Bachelors,Clerical,81432
51,M,M,1,1,2,1,Partial High School,Manual,34554
61,M,S,1,1,1,1,High School,Skilled Manual,54375
47,M,M,1,2,2,2,Bachelors,Management,111563
58,M,M,1,1,2,1,Partial College,Clerical,85889
44,F,S,0,0,0,0,High School,Skilled Manual,62077
43,M,M,1,2,1,1,High School,Clerical,78344
51,M,M,1,0,2,1,Partial College,Skilled Manual,52349
34,F,S,0,1,0,0,Partial High School,Skilled Manual,61820
46,M,M,1,3,2,1,Graduate Degree,Professional,128425
43,F,M,1,2,2,2,Bachelors,Clerical,84402
41,M,S,1,1,0,0,Bachelors,Management,108902
38,M,S,0,2,0,0,Bachelors,Skilled Manual,62372
35,M,M,1,3,0,0,Graduate Degree,Professional,133099
29,F,S,0,0,0,0,High School,Clerical,85962
57,M,M,1,2,2,0,Bachelors,Professional,129522
54,F,M,1,1,1,1,Partial College,Manual,34135
40,M,M,1,0,1,0,High School,Skilled Manual,59521
47,F,M,1,1,2,1,Graduate Degree,Manual,34487
25,M,S,0,1,0,0,Partial High School,Skilled Manual,54306
52,F,S,1,2,0,0,Graduate Degree,Clerical,79606
39,M,S,0,1,0,0,Graduate Degree,Clerical,77126
45,M,S,0,1,0,0,Partial College,Skilled Manual,59362
33,F,S,0,1,0,0,Partial High School,Manual,34019
36,F,S,1,2,0,0,Graduate Degree,Professional,129567
40,M,S,0,2,0,0,Partial College,Skilled Manual,60667
72,F,M,1,2,2,0,Graduate Degree,Professional,138022
28,F,S,0,1,0,0,Partial College,Skilled Manual,53629
46,M,S,1,0,0,0,Graduate Degree,Management,107890
29,M,S,0,0,0,0,Partial College,Clerical,83477
29,F,S,0,0,0,0,Partial College,Manual,25978
59,F,M,1,2,2,0,Partial College,Skilled Manual,57948
29,M,S,0,0,0,0,Bachelors,Manual,27626
47,F,M,1,0,1,0,Graduate Degree,Skilled Manual,52502
56,F,M,1,0,2,0,High School,Manual,32859
40,F,M,0,0,2,0,Graduate Degree,Manual,34470
57,M,M,1,0,2,0,Partial College,Manual,33994
35,F,S,0,2,0,0,Partial College,Skilled Manual,56889
38,M,S,0,0,0,0,Bachelors,Manual,31101
47,F,M,1,2,2,1,Partial College,Clerical,79698
44,F,M,1,2,2,1,Partial College,Management,110846
34,F,S,0,1,0,0,Partial High School,Skilled Manual,57466
54,F,M,1,1,2,1,Partial High School,Skilled Manual,57090
29,F,S,0,3,0,0,High School,Clerical,82037
46,M,S,0,2,0,0,Bachelors,Skilled Manual,52717
26,F,S,0,3,0,0,Partial College,Clerical,79118
40,F,M,0,1,2,2,Graduate Degree,Manual,36501
38,F,S,0,0,0,0,Partial College,Clerical,86737
47,M,M,1,0,2,1,Bachelors,Skilled Manual,58529
63,F,S,1,3,1,1,Bachelors,Management,107870
33,M,M,0,1,1,0,Bachelors,Skilled Manual,58953
57,M,M,1,2,2,1,Partial College,Clerical,77607
69,M,M,1,2,3,0,Partial College,Skilled Manual,59464
31,M,M,0,2,0,0,High School,Skilled Manual,57786
33,M,M,0,1,1,0,High School,Manual,31877
92,F,M,1,0,3,0,High School,Skilled Manual,53308
34,F,M,1,3,0,0,Graduate Degree,Professional,137943
43,F,S,1,2,0,0,Partial College,Management,106718
48,M,S,1,1,0,0,Partial High School,Skilled Manual,61966
38,F,S,0,0,0,0,Partial High School,Skilled Manual,59016
46,F,S,0,2,0,0,Partial College,Skilled Manual,57754
43,F,S,1,1,0,0,Partial College,Clerical,87499
27,F,S,0,3,0,0,Partial College,Management,109789
37,F,M,1,3,0,0,Bachelors,Management,104035
44,M,S,1,2,0,0,Partial College,Clerical,78413
43,M,M,1,2,2,0,Bachelors,Clerical,78396
60,M,M,1,0,2,0,Bachelors,Skilled Manual,54441
49,M,S,0,0,0,0,Partial College,Manual,28711
32,F,S,0,3,0,0,Graduate Degree,Professional,129067
68,M,M,1,1,2,1,Bachelors,Management,105772
64,M,S,1,1,1,0,Partial College,Clerical,83057
39,M,M,1,1,2,1,High School,Skilled Manual,56598
38,F,M,0,1,2,1,Bachelors,Manual,33503
43,M,M,1,2,0,0,Graduate Degree,Professional,135358
37,F,S,0,2,0,0,Bachelors,Management,110952
36,M,S,1,3,0,0,Graduate Degree,Professional,136281
70,F,S,1,0,1,0,Graduate Degree,Professional,134033
67,M,M,1,1,2,1,Graduate Degree,Professional,129502
32,M,S,0,0,0,0,High School,Skilled Manual,58387
42,F,S,1,3,0,0,Bachelors,Management,102948
38,M,M,1,2,0,0,Bachelors,Professional,131323
69,F,M,1,2,2,0,Bachelors,Clerical,77470
34,F,M,1,2,0,0,Graduate Degree,Professional,129777
51,F,S,0,1,0,0,Partial High School,Manual,33196
49,F,M,1,2,2,1,Partial College,Management,110863
39,F,M,1,2,2,1,Bachelors,Professional,130832
37,M,M,0,1,2,1,Bachelors,Manual,30556
37,F,M,1,3,0,0,Bachelors,Management,108692
68,F,M,1,2,2,2,Graduate Degree,Skilled Manual,54780
67,F,M,1,1,3,0,Bachelors,Skilled Manual,57568
43,M,M,1,1,2,1,Partial College,Skilled Manual,53935
47,M,S,1,2,0,0,Graduate Degree,Professional,130831
42,F,S,0,0,0,0,Bachelors,Clerical,83616
56,F,M,1,3,2,2,Partial College,Clerical,86932
31,F,S,0,1,0,0,Partial College,Skilled Manual,58625
32,M,S,0,0,0,0,Partial College,Skilled Manual,61912
44,F,S,0,1,0,0,High School,Skilled Manual,56625
42,M,M,1,2,2,0,Partial College,Skilled Manual,61679
38,F,S,0,0,0,0,Partial College,Manual,31747
